曲名,平均密度,音符数-1
最終鬼畜妹フランドール・S,7.531,944
FREEDOM DiVE↓,7.521,1023
アキバ20XX,7.500,818
ペットショップ大戦,7.462,695
あめふりのロンド(裏譜面),7.455,896
森羅万象(達人譜面),7.453,983
美しく忙しきドナウ(裏譜面),7.443,1037
SstTAarR*,7.430,847
GORI × GORI × SafaRI(裏譜面),7.427,1053
螺旋周回軌道(裏譜面),7.426,968
Angel Halo,7.417,897
Aragami,7.395,838
mint tears,7.394,764
天下統一録,7.381,987
紫煌ノ乱,7.374,822
懐中庭園を持つ少女,7.361,826
にゃーにゃーにゃー,7.354,858
ウルトラマンX(裏譜面),7.350,1034
Abyss of hell(裏譜面),7.341,1099
其方、激昂,7.334,993
FLOWER(裏譜面),7.320,872
ゴーストマスク,7.313,898
アサガオ,7.309,764
秘ナルメジェドノ悲ナル憂鬱,7.307,817
零の交響曲(裏譜面),7.297,892
ドドンガド～ン(裏譜面),7.292,875
†††カオスタイム the DARK†††,7.276,999
天泣の律,7.270,820
月読命,7.262,972
Gloria,7.261,887
Central Dogma Pt.1,7.246,875
8OROCHI,7.238,957
ネクロファンタジア ～ Arr.Demetori,7.234,1159
星河一天,7.218,857
R.I.,7.207,924
燎原ノ舞,7.205,821
CUT! into the FUTURE,7.190,988
Calculator,7.186,776
鼓舞曲「閻魔」,7.172,978
Don't Stop the Game,7.164,845
Aloft in the wind(裏譜面),7.160,783
Re：End of a Dream(裏譜面),7.160,998
EkiBEN2000,7.153,875
神竜 ～Shinryu～,7.152,972
ひよこ鑑定士さん,7.151,851
モノクロボイス,7.144,960
天照,7.119,857
めためた☆ゆにば～すっ！(裏譜面)(普通譜面),7.118,764
VERTeX,7.114,805
哀 want U,7.104,948
共奏鼓祭(裏譜面),7.089,869
晨星ト鵺,7.075,903
Illusion Flare,7.067,765
X-DAY2000,7.053,764
トイマチック☆パレード!!,7.050,850
D's Adventure Note,7.026,871
Surf Zapping,7.009,839
彼は誰時の誘惑(裏譜面),7.009,915
Got more raves？(裏譜面),7.003,823
INSPION,6.969,1051
オーブの祈り,6.966,1061
刻竜 ～Kokuryu～,6.947,884
夏祭り / ジッタリン・ジン(裏譜面),6.939,846
夜桜謝肉祭(裏譜面),6.937,941
ex寅 Trap!!,6.930,887
Vixtory,6.916,911
Dogbite,6.916,816
カラ鞠の花,6.915,773
濃紅,6.911,949
濃紅(レヴィ・エリファ),6.911,949
あの日出会えたキセキ,6.904,902
Ignis Danse,6.897,817
FUJIN Rumble,6.887,750
またさいたま2000,6.885,834
SAVAGE DELIGHT,6.882,857
Chronomia,6.877,968
VIVIVIVID,6.871,667
わら得る2000,6.870,817
Purple Rose Fusion,6.870,875
ノるどん2000,6.865,935
DEBSTEP！,6.863,887
タベルナ2000,6.843,820
KAGEKIYO(裏譜面)(達人譜面),6.843,998
KAGEKIYO(裏譜面)(玄人譜面),6.841,997
KAGEKIYO(裏譜面)(普通譜面),6.835,996
超絶技巧系少女,6.811,802
wonderful ROUTINE,6.807,776
23時54分、陽の旅路へのプレリュード,6.805,986
SUPERNOVA,6.798,936
Blessed Bouquet Buskers,6.791,867
コネクトカラーズ,6.787,871
Doom Noiz,6.773,960
ココドコ？多分ドッカ島！(裏譜面),6.766,938
愛と浄罪の森,6.759,831
memoria ficta,6.757,746
タイコタイム(裏譜面),6.748,875
うちゅうひこうし冒険譚,6.739,796
What's in the box? ,6.731,749
ON SAY GO SAY(裏譜面),6.717,620
きたさいたま2000,6.705,801
メタナイトの逆襲メドレー(裏譜面),6.704,999
チャーリー ダッシュ！,6.695,857
Taiko Drum Monster,6.685,849
No Gravity,6.678,673
Libera Ray,6.646,859
承認欲Q,6.645,898
BATTLE NO.1(玄人譜面),6.627,833
旋風ノ舞【天】,6.613,615
The Future of the 太鼓ドラム,6.602,973
オーバード(裏譜面),6.595,732
よーいドン！,6.585,776
乱数調整のリバースシンデレラ(裏譜面),6.582,706
Doppelgangers(裏譜面),6.565,928
メタルホーク BGM1(達人譜面→最終玄人譜面),6.532,763
人のお金で焼肉を食したい！(裏譜面),6.525,828
重金属フューギティブ,6.523,652
森羅万象(玄人譜面),6.513,859
アムピト♢リーテー,6.505,832
とける,6.485,787
てんぢく2000,6.484,830
waitin' for u,6.481,761
Challengers,6.478,752
Emma(裏譜面)(普通譜面),6.442,780
旋風ノ舞【天】(裏譜面),6.430,598
Venomous(裏譜面),6.424,764
六本の薔薇と采の歌(裏譜面)(玄人譜面),6.422,978
4+1のそれぞれの未来,6.417,875
クラポルポルスカ,6.417,722
疾風怒濤,6.404,771
LECIEL GLISSANDO,6.402,756
Kamikaze Remix,6.377,736
"Hello, Mr.JOKER",6.364,820
Parousia,6.358,786
VICTORIA,6.352,857
メタルホーク BGM1(達人譜面),6.343,764
イオシス秋の爆食祭2024,6.314,810
儚姫は原初に舞う,6.304,739
Caribbean Knight,6.294,805
ドンカマ2000,6.208,764
モノクロームユートピア,6.191,681
テトラリュトモスフォビア,6.120,716
Garakuta Doll Play(裏譜面),6.117,714
キャラメル・ジャンキヰ,6.108,879
アンリミテッドゲームズ,6.067,832
Toon Town's Toys' Tune,6.051,658
Agent Hustle & Dr. Hassle,5.966,692
SORA-Ⅶ シグナスウォール,5.964,838
須佐之男,5.945,685
ミュージック・リボルバー(裏譜面),5.937,776
六華の舞,5.921,707
星屑ストラック,5.917,710
Altale(裏譜面),5.863,819
憎悪と醜悪の花束,5.863,721
Spectral Rider,5.856,747
ハンロック,5.820,610
タイコロール,5.798,875
GIGALODOON,5.764,772
OK I’m blue rat,5.760,815
三瀬川乱舞(裏譜面),5.750,638
十露盤2000,5.733,764
メタルホーク BGM1(玄人譜面),5.702,666
Destr0yer(裏譜面),5.662,803
BATTLE NO.1(普通譜面),5.609,705
スーハー2000,5.519,667
詩謳兎揺蕩兎,5.397,679
メタルホーク BGM1(普通譜面),5.385,629
森羅万象(普通譜面),5.368,708
あなたとトゥラッタッタ♪(裏譜面),5.337,467
ココロボ,5.283,619
六本の薔薇と采の歌(裏譜面)(普通譜面),5.227,796
Honey Heartbeat ～10 Stars Mix～(裏譜面),5.218,764
MagiCatz,5.134,731
【双打】 双竜ノ乱,5.104,602
彁,5.090,691
Aleph-0,4.926,578
ゲゲゲの鬼太郎(氷川きよし)(裏譜面),4.884,389
もぺもぺ,4.856,500
パン vs ごはん！ 大決戦！(普通譜面),4.551,479
パン vs ごはん！ 大決戦！(裏譜面)(普通譜面),4.551,479
鼓立あおはる学園校歌,4.508,612
【双打】 Garakuta Doll Play(裏譜面),4.498,525
【双打】 Garakuta Doll Play(裏譜面),4.412,515
【双打】 紅(裏譜面),4.236,611
【双打】 紅(裏譜面),4.226,610
【双打】 双竜ノ乱,3.790,447
【双打】 KAGEKIYO(裏譜面),3.607,526
【双打】 KAGEKIYO(裏譜面),3.567,517
