曲名,平均密度,音符数-1
FLOWER,6.044,720
ナイト・オブ・ナイツ(玄人譜面),6.038,635
Xa,6.022,674
零の狂詩曲,6.021,834
ナイト・オブ・ナイツ(普通譜面),6.019,633
Fallen Angel,6.013,844
Sunset Runaway,6.000,609
毒LOCANdy♡,5.994,776
私立高天原学園高校・校歌,5.992,828
合唱スタボーフェ！,5.978,672
めたるぽりす,5.978,593
凛,5.967,671
聖徳たいこの「日いずるまで飛鳥」(達人譜面),5.966,813
Got more raves？,5.965,701
泥の分際で私だけの大切を奪おうだなんて,5.958,769
TD - 28619029byte remix -,5.957,881
幻想即興曲,5.954,557
千鼓千鼓,5.944,775
六兆年と一夜物語(裏譜面),5.941,752
ミツボシ☆☆★(裏譜面),5.928,755
ダンスロボットダンス,5.927,875
JOIN THE PAC -太鼓の達人 Ver.-,5.913,605
1・2・さんしのでドンドカッカッ！(裏譜面),5.908,714
マジカル・パフェ,5.902,651
百鬼夜行(達人譜面),5.896,710
Shining Lights (feat. PSYQUI),5.896,861
ラビットホール,5.896,915
タイコタイム(達人譜面),5.892,764
Solitude Star,5.887,765
聖徳たいこの「日いずるまで飛鳥」(玄人譜面),5.885,802
サラえる,5.869,598
Heaven's Rider,5.863,713
SAMURAI ROCKET(裏譜面),5.853,887
Pastel Sealane,5.839,849
わんにゃーワールド,5.836,764
エイリアンエイリアン,5.834,745
サンバ アレグリーア(裏譜面),5.828,764
秋竜 ～Shiuryu～,5.820,749
散りゆく蘭の綴る詩,5.817,700
百鬼夜行(普通譜面=玄人譜面),5.816,710
Crystal Hail,5.798,816
アルムジカac14.0V,5.797,554
リンダは今日も絶好調(裏譜面),5.785,593
STAGE 0.ac11,5.785,764
ウルトラマンギンガの歌,5.784,817
つながれ！ひろがれ！打ち上がれ！,5.779,775
よくでる2000,5.777,656
業 -善なる神とこの世の悪について-,5.774,874
Space-Time Emergency,5.754,557
聖徳たいこの「日いずるまで飛鳥」(普通譜面),5.753,784
戦国三弦(達人譜面),5.741,677
亜空間遊泳ac12.5,5.736,776
LΔchesis,5.735,653
ひよっこファンタジー,5.721,582
キラメキラリ,5.718,690
旋風ノ舞　【地】,5.713,692
ヤマタイ★ナイトパーティー,5.709,776
チェインクロニクル 総力戦メドレー(裏譜面),5.707,634
junction,5.707,603
デザートde焼肉 (サハラ編),5.701,758
夏竜 ～Karyu～(裏譜面),5.692,799
Tulip(裏譜面),5.689,676
GO GET'EM！,5.688,554
イイコ進化論(feat. O-LuHA),5.681,676
スリケンランナー,5.657,677
TOKIMEKIエスカレート(裏譜面),5.636,666
花漾(裏譜面),5.631,540
メヌエット,5.622,528
PAC‐MAN CHAMPIONSHIP EDITION 2,5.621,656
戦国三弦(玄人譜面),5.614,662
隼,5.614,785
Abandoned Temple Final 2nd,5.598,613
月影SASURAI(裏譜面),5.597,764
for Q,5.591,807
Asteroid,5.580,783
白鳥の湖,5.573,609
Night And Day,5.570,697
conflict,5.552,735
Wings of Tomorrow (Tatsujin Mix),5.544,764
もりのくまさん(裏譜面),5.537,562
ヘイラ,5.525,554
ヘイラ(ましろ爻),5.525,554
白日夢、霧雨に溶けて,5.501,689
トッカータとフーガとロック,5.496,803
ゲラゲラと笑うな,5.490,928
Amber Light,5.465,633
NAKED GLOW,5.449,822
氷竜 ～Kooryu～,5.443,733
シンクロニカ・エアライン,5.434,758
真・画竜点睛(達人譜面),5.393,587
花オト裏拍子,5.393,699
さよならワーリャ,5.369,545
真・画竜点睛(玄人譜面),5.366,584
きたさいたま200,5.364,801
サクラ・シークレット,5.359,672
一世風靡(玄人譜面),5.349,664
DIMENSIONS,5.346,534
EDY -エレクトリカルダンシングヨガ-,5.339,764
アントニオ,5.296,723
